2025-04-12 18:14:52.739 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:14:58.098 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:14:58.162 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:15:04.866 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:15:04.939 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:15:09.397 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:15:09.467 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:15:45.803 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:15:45.870 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:15:50.528 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:15:50.598 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:16:52.686 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:16:52.750 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:16:57.342 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:16:57.412 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:17:03.126 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:17:03.195 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:17:08.843 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:17:08.910 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:17:13.224 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:17:13.292 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:17:19.074 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:17:19.144 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:17:23.461 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:17:23.528 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:19:35.923 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:19:35.993 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:19:40.584 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:19:40.651 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:19:47.219 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:19:47.288 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:19:53.537 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:19:53.602 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:20:00.149 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:20:00.221 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:20:06.853 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:20:06.918 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:20:13.586 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:20:13.653 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:20:20.170 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:20:20.236 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:20:26.873 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:20:26.935 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:22:36.912 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:22:36.984 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:22:41.575 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:22:41.642 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:22:47.643 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:22:47.709 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:22:54.177 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:22:54.244 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:00.694 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:00.761 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:07.277 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:07.342 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:13.764 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:13.827 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:20.041 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:20.109 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:26.362 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:26.428 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:32.691 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:32.760 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:38.875 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:38.946 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:45.800 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:45.859 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:52.207 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:52.276 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:23:58.515 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:23:58.575 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:04.941 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:05.008 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:11.842 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:11.907 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:18.706 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:18.773 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:25.591 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:25.654 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:32.438 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:32.508 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:39.039 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:39.107 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:24:45.472 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:24:45.542 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:10.421 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:10.494 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:12.400 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:12.483 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:29.327 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:29.391 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:31.916 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:31.984 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:36.570 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:36.636 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:46.772 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:46.841 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:50.332 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:50.400 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:25:55.983 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:25:56.053 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:26:52.493 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:26:52.571 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:26:56.113 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:26:56.183 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:01.747 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:01.816 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:17.634 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:17.704 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:22.277 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:22.346 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:28.947 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:29.014 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:35.381 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:35.444 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:41.994 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:42.063 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:48.892 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:48.963 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:27:55.466 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:27:55.528 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:02.075 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:02.145 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:08.657 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:08.729 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:15.279 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:15.345 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:21.844 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:21.910 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:28.443 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:28.511 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:35.127 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:35.192 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:41.445 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:41.510 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:47.676 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:47.742 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:28:54.043 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:28:54.109 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:29:00.693 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:29:00.759 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:29:07.145 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
2025-04-12 18:29:07.211 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 18:29:13.507 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (10, 10) -> (549, 995)
