2025-04-12 21:06:44.209 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:06:44.259 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:06:45.883 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:06:45.914 | INFO     | utils.xiayi:capture_and_recognize_text:311 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:08:37.795 | INFO     | utils.xiayi:set_window_pos:243 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:08:37.795 | INFO     | utils.xiayi:set_window_pos:244 - 位置: (-6, 0)
2025-04-12 21:08:37.795 | INFO     | utils.xiayi:set_window_pos:245 - 大小: 568 x 1033
2025-04-12 21:08:37.795 | INFO     | utils.xiayi:set_window_pos:246 - 已设置为始终保持在最前端
2025-04-12 21:08:38.795 | INFO     | utils.xiayi:append_nothing_to_txt:271 - 文本已追加到: progress/20250411.txt
2025-04-12 21:08:38.795 | INFO     | utils.xiayi:read_txt:290 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:08:39.620 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:08:39.674 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:08:41.353 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:08:41.396 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:09:41.093 | INFO     | utils.xiayi:set_window_pos:243 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:09:41.093 | INFO     | utils.xiayi:set_window_pos:244 - 位置: (-6, 0)
2025-04-12 21:09:41.095 | INFO     | utils.xiayi:set_window_pos:245 - 大小: 568 x 1033
2025-04-12 21:09:41.095 | INFO     | utils.xiayi:set_window_pos:246 - 已设置为始终保持在最前端
2025-04-12 21:09:42.095 | INFO     | utils.xiayi:append_nothing_to_txt:271 - 文本已追加到: progress/20250411.txt
2025-04-12 21:09:42.095 | INFO     | utils.xiayi:read_txt:290 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:09:42.918 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
